Product Name,Price,Sold,Location,Rating
Menggh (With Glue) Artificial Nails With Drills Waterproof French False Nails,Rs. 563,1.9K sold,Federally Administered Tribal Areas,314
30 Pcs Colorful Flower Nail Stickers Set Small Sakura Daisy Cute Flowers Decals 3D Self Adhesive Sliders Manicure Decoration,Rs. 801,635 sold,Overseas,62
100Pcs/Pack Wood Cuticle Pusher Sticks 63/75/95/105/127/150/178MM For Gel Polish Remove Clean Pedicure DIY Design Dotting Tool,Rs. 549,1.3K sold,Overseas,15
"7g Super Strong Nail Glue For False Nail Tips, Acrylic Nails,Press On Nails,Fake Nails Art Decoration Lasting Adhesion",Rs. 662,4.7K sold,Overseas,22
SP Dealz 100Pcs Artificial Nail Tips Acrylic Transparent  Nails Manicure Diy Decoration Tools,Rs. 299,210 sold,Sindh,24
Nail Art Patch Glitter Simple White Edge French Toenail Nail Piece Fake Nails Pure Desire Wind Short Removable Wearable Nail,Rs. 452,158 sold,Overseas,N/A
576 pcs box Colorful Fake Nails Acrylic Full Cover Nail,"Rs. 1,799",221 sold,Punjab,37
"12 pcs stick on french nails, artificial press on nails,  nails for girls",Rs. 268,4.1K sold,Punjab,550
240pcs / 10 Sheets Fake Nails Nail Jelly Glue Double Sided False Nail Art Adhesive Tape Glue Sticker Fake Nail Glue Super Viscous Artificial Nails Glue,Rs. 279,2.2K sold,Punjab,261
24Pcs Crystal Pearl Fake Nails with Glue Wearable Nails Stylish Pattern Artificial Nails,Rs. 429,353 sold,Federally Administered Tribal Areas,43
2 Sided Nail Buffer Shiner Nail Art Sanding Buffer Strip Pedicure Manicure Polish Professional Nail Shiner Buffer Tool,Rs. 129,23 sold,Sindh,N/A
24Pcs Pink Heart Long Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 359,459 sold,Overseas,45
24pcs detachable French cat-eyes false nails with glue full cover ballet shattered press on acrylic nails Wearable Manicure Nail,"Rs. 2,080",(1),Overseas,1
100Pcs / Coffin Shape Natural & Transparent Color Artificial Nails Kit Fakee Nails Acrylic Nails For Girls Beautiful Nails Falsee Nails,Rs. 180,9.6K sold,Sindh,1420
24Pcs Long Gold Red Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 499,205 sold,Overseas,20
100pcs square Shape Transparent Color Artificial Nails Fakee Nails Falsee Nails kit Acrylic Nails square Artificial Nail Transparent With Glue Nails For Girls,Rs. 335,440 sold,Sindh,41
7 Pieces Sets Manicure Pedicure Set Nail Clippers Nail Cutter Professional Nail Cutter Trimmer Set Professional Nail Cutter Trimmer Professional Nail Cutter Trimmer Portable Travel Nail Care Hygiene Kit Mani Pedi Set,Rs. 535,382 sold,Sindh,58
Buy High Quality 100pcs Nail Tips with Nail Glue - Best Selling Nail Deal,Rs. 299,26 sold,Punjab,1
"Menggh (with glue) 24pcs Artificial Nails, Hot-selling French False Nails",Rs. 415,11.4K sold,Federally Administered Tribal Areas,1609
Poly gel Nail Kit 8in1,"Rs. 1,999",198 sold,Punjab,20
100 pc Artificial nails for girls Transparent nails whit Glue,Rs. 280,205 sold,Punjab,15
"Brush-On Nail Adhesive Glue, Nails Art Glue",Rs. 149,Punjab,Punjab,N/A
24Pcs Spring Green Fake Nails with Glue DIY Art Design Flower False Nails Wearable Nails Hand-painted Artificial Nails,Rs. 359,371 sold,Overseas,53
576PCS Coffin Press on Nails Medium Length 24 Solid Color Acrylic False Nails Set Short Ballerina Fake Nails Full Cover Acrylic False Nail tips for Nail Art DIY,"Rs. 1,299",105 sold,Punjab,23
Face Value 100pcs Artificial Nails For Girls.,Rs. 180,3.7K sold,Sindh,556
24PCS Red French False Nails With Design Small Rhinestones Nail Art Full Cover Long Almond Nails Press On Manicure Nail Tip,"Rs. 2,288",Overseas,Overseas,N/A
OPI Nail Filer Stong Sandpaper Nails File 100/80 Griting Straight Nail Filer For Professional Files Art Manicure Accessories,Rs. 129,41 sold,Sindh,5
VADHARYA 240pcs (10 Sheets) Adhesive Tabs Waterproof Breathable Glue Tabs Double-Sided Nail Jelly Sticker Super Sticky Fake Nail Glue Stickers Transparent Flexible for Manicure,Rs. 279,240 sold,Sindh,24
NYT Lanmuiar Poly Nail Gel Set 6W Led Lamp Full Manicure Set Quick Extension Nail Kit Gel Builder Polygels Set For Nails Nail Tool Kit,"Rs. 2,935",142 sold,Federally Administered Tribal Areas,13
Sabra Aapa Majic Nail Serum 10ml,"Rs. 1,100",157 sold,Punjab,13
Manicure & Pedicure Kit (6 x 100 ML),"Rs. 1,100",873 sold,Punjab,168
15ML Solid Nail Glue Gel Nail Glue Press On Solid Glue Gel Solid Gel Polish Glue,Rs. 997,131 sold,Federally Administered Tribal Areas,11
"Pack of 5 Artificial Nails Glue MAGIC ARMOR Nail Glue for Acrylic Nails, Professional Nail Tip Glue Nail Glue for Press On Nails False Nails Fake Nails Tips Glue Adhesive Glue for Acrylic Art Broken Long Lasting  3g",Rs. 349,(1),Sindh,1
Finishing Touch Flawless Salon Nails Kit,Rs. 749,10 sold,Sindh,1
24Pcs Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 369,832 sold,Overseas,69
Manicure Set and Pedicure Tool Set Beauty Nail Set All In One Kit Having 18PCS Used Professionally In Salon And Personally in Home All PCS Is Stainless Steel Quality And Export Quality-18PCS Set,"Rs. 1,599",786 sold,Punjab,170
24Pcs Red Heart Pink Fake Nails with Glue DIY False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 329,193 sold,Federally Administered Tribal Areas,20
Nail Buffer 6 sides - 7 Way Nail Buffer and Filer -Nail filer - Nail Shiner - Nail Files Professional 6 Sides 7 Steps Nail Buffering Blocks Polishing Tool   - Pedicure and Manicure Nail Tool - Nail Shiner -Nail care - Salon Accessories,Rs. 145,22 sold,Punjab,3
Toenail Clipper For Thick Ingrown Nails Toe Nail Clipper For Nail Correction Cutter Heavy Cuticle Nipper For Feet Care Tool With Easy Grip Toe Nail Manicure Pedicure For personal And Saloon Use,Rs. 299,Punjab,Punjab,N/A
VADHARYA 5 pc 2 Way Dotting Pen Tool Nail Art Tip Dot Paint Manicure kit (5PC),Rs. 189,318 sold,Sindh,48
"100PCS Artificial Nails Kit | Square, Oval & Coffin Shape Natural Color Fake Nails Set | Acrylic Nail With Free Glue | Durable and Easy to Apply | Artificial Nails Fakee Nails Acrylic Nails For Girls | Beautiful Nails Falsee Nails | Perfect for Everywhere",Rs. 265,Sindh,Sindh,N/A
24 Pcs Artificial Nails Natural Colors With Glue For Girls And Women,Rs. 340,1.3K sold,Sindh,161
9pcs New Manicure Nail Clippers Pedicure set – Professional Nail Clipper Cutter Trimmer Set Cleaner Cuticle Beauty Grooming Kit - Portable Travel Nail Care Hygiene Kit – Multifunctional Scissor - Pedicure Manicure Kit – Ear Pick – Fingernail Toenail Care,Rs. 647,20 sold,Khyber Pakhtunkhwa,12
"Pack Of 24 Sticky Nail,Â Brandedâ Artificial Nails For Women",Rs. 205,4.7K sold,Punjab,707
Simple Wine Red Bow Pattern Nail Sticker Drop-Shaped Nail Patch (with Glue) Jp3133,Rs. 855,259 sold,Federally Administered Tribal Areas,25
Professional Nail Files 7 Sides Sanding Buffer Block Nail Sponge Files Nail Buffer For Nail Polishing Manicure Tools,Rs. 98,(1),Sindh,1
Manicure Set Pedicure Tools Kit Nail Clipper scissors Travel KIt Nail Cutter,Rs. 310,56 sold,Punjab,10
Nail Filer and Cuticle Remover,Rs. 100,8 sold,Punjab,N/A
Artificial Nails Clipper U Shape Nail Art Clipper Cutter Black Acrylic Tip Cutter Manicure Tool,Rs. 620,80 sold,Punjab,15
Gold Silver Flowers Manicure Accessories Nail Rhinestones Nail Art Jewelry Bow Nail Decorations 3D Nail Art Drills Cologo,Rs. 264,120 sold,Federally Administered Tribal Areas,11
100 PCS Round Artificial Nails Oval Nails Tips Natural Full Cover,Rs. 149,982 sold,Sindh,127
"Mini Smart Nail Clipper, Professional Electric Nail Trimmer, Mini Portable Finger Nail Tools, Portable Mini Electric Nail Clipper Polisher With Light, Automatic Baby Adult Nail Cutter","Rs. 1,999",182 sold,Sindh,41
Nail Cutter Clipper Trimmer Manicure Pedicure,Rs. 99,11 sold,Sindh,2
Menggh 24PCS French Simple temperament nude bow false nails,Rs. 521,278 sold,Federally Administered Tribal Areas,31
NAIL BUFFER 4 WAY  LOOX  KOREA,Rs. 250,49 sold,Sindh,10
6pcs 3D Striping Tape Line Nail Stickers Rose Gold Metal Letters Decals Curved Strips Nails Art Sliders Manicure Decors,Rs. 823,1.5K sold,Overseas,N/A
Pack Of 2 Stainless Steel Nail Filer - Silver,Rs. 99,8 sold,Punjab,N/A
Nail Filer And Cuticle Remover 2 in 1 - Nail Filer and Cuticle Trimmer and Cutter - Professional Nail  file tool for manicure - Double Head Dual-use Stainless Steel Nail File - Nail buffer steel - Nail buffer and cuticle remover - Nail Pusher,Rs. 120,Punjab,Punjab,N/A
OPI NAIL SHINER &BUFFER,Rs. 130,402 sold,Punjab,24
High Quality 12Pcs Women False Nails Beauty Nail Art Tips - Golden,Rs. 149,246 sold,Sindh,36
1 Box Of 12 Pcs / 13 Pcs / 16 Pcs and 19 Pieces Set Nail Clip Set Decoration Nail Tool Cut Nail Clipper Set Nail Clipper Cut Nail Genuine Stainless Steel Manicure Pedicure Nail Personal Care Salon Cuticle Nipper Clipper Cleaning Tools Gift ),Rs. 999,268 sold,Khyber Pakhtunkhwa,35
9pcs New Manicure Nail Clippers Pedicure set – Professional Nail Clipper Cutter Trimmer Set Cleaner Cuticle Beauty Grooming Kit - Portable Travel Nail Care Hygiene Kit – Ear Pick - Pedicure Manicure – Multifunctional Scissor - Fingernail Toenail Care,Rs. 628,76 sold,Khyber Pakhtunkhwa,19
AESCO INSTRUMENTS Nail File and Buffer Stainless Steel Nail Refining diamond Nail Files Durable Fancy Ladies Girls Home and Salon Use Nail File Nail Grooming Tools,Rs. 385,27 sold,Punjab,5
"Glamorous Face Pedicure, Manicure Set Card Nail Clippers Kit Pedicure Care Tools, Mani Pedi Kit.","Rs. 1,099",264 sold,Sindh,52
24Pcs Red Bow Long Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 469,141 sold,Overseas,12
"VADHARYA 120 Pcs Artificial Nails, Coffin, Square, Almond, Oval Shape False Nails, Transparent Acrylic Press On Nail Tips For Extension With Free 2 Nail Glues",Rs. 279,2.7K sold,Sindh,480
24pcs of fake nails with glue DIY Art design acrylic french nail girls nails pink peach transparent nails nakli nails,Rs. 300,304 sold,Punjab,30
6W Mini Nail Dryer Machine Portable 6 LED UV Manicure Lamp Home Use Nail Lamp For Drying Polish Varnish With USB Cable,Rs. 873,12.5K sold,Overseas,1190
100PCS TRANSPARENT NAILS FOR GIRLS WITH GLUE,Rs. 215,513 sold,Sindh,33
100Pcs / Square Almond Oval Coffin Shape Natural & Transparent Color Artificial Nails Kit Fakee Nails Acrylic Nails For Girls Beautiful Nails Falsee Nails,Rs. 300,528 sold,Punjab,66
Pack of 12- Nails Set For Women With 12 Extra Nails Stickers,Rs. 220,2.7K sold,Islamabad,281
6Pcs/Set Professional Nail Files Manicure Sets Polishing Sanding Buffer File Pedicure Tool Cuticle Pusher Nail Brushes Accssory,Rs. 866,1.7K sold,Overseas,268
"288 pcs nails with box ,reusable Artificial nails,24 different colours,beautiful fake nails American Nail for Girls Women",Rs. 999,335 sold,Punjab,31
24Pcs Elegant Pink Fake Nails with Glue DIY Art Design False Nails Hand-painted Flowers Wearable Nails Stylish Pattern Artificial Nails,Rs. 359,866 sold,Overseas,114
SUMMER 24 pcs Simple Nude Black French Autumn Wear Armor Southeast Asia Fake Nail Patch Nail Tips Finished,Rs. 642,1.8K sold,Overseas,243
24Pcs Pink White Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 359,426 sold,Overseas,39
16Pcs/Sheet Semi-Cured Gel Nail Polish Sticker Long-Lasting Extension Cream Nail Decal Full Cover Gradient Color Cured Slider,Rs. 378,81 sold,Overseas,9
24Pcs Blue Butterfly Long Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 469,254 sold,Overseas,37
100 pcs/Square Almond oval coffin shape Natural and transparent Artificial Nail with Nail Glue Bottle,Rs. 199,232 sold,Punjab,28
24Pcs Pink Crystal Butterfly Pearl Delicate Long Fake Nails with Glue DIY Art Design False Nails Wearable Nails Artificial Nails,Rs. 429,854 sold,Overseas,103
Menggh (With Glue) Artificial Nails With Drills Waterproof French False Nails,Rs. 563,1.9K sold,Federally Administered Tribal Areas,314
30 Pcs Colorful Flower Nail Stickers Set Small Sakura Daisy Cute Flowers Decals 3D Self Adhesive Sliders Manicure Decoration,Rs. 801,635 sold,Overseas,62
100Pcs/Pack Wood Cuticle Pusher Sticks 63/75/95/105/127/150/178MM For Gel Polish Remove Clean Pedicure DIY Design Dotting Tool,Rs. 549,1.3K sold,Overseas,15
"7g Super Strong Nail Glue For False Nail Tips, Acrylic Nails,Press On Nails,Fake Nails Art Decoration Lasting Adhesion",Rs. 662,4.7K sold,Overseas,22
SP Dealz 100Pcs Artificial Nail Tips Acrylic Transparent  Nails Manicure Diy Decoration Tools,Rs. 299,210 sold,Sindh,24
Nail Art Patch Glitter Simple White Edge French Toenail Nail Piece Fake Nails Pure Desire Wind Short Removable Wearable Nail,Rs. 452,158 sold,Overseas,N/A
"12 pcs stick on french nails, artificial press on nails,  nails for girls",Rs. 268,4.1K sold,Punjab,550
240pcs / 10 Sheets Fake Nails Nail Jelly Glue Double Sided False Nail Art Adhesive Tape Glue Sticker Fake Nail Glue Super Viscous Artificial Nails Glue,Rs. 279,2.2K sold,Punjab,261
24Pcs Crystal Pearl Fake Nails with Glue Wearable Nails Stylish Pattern Artificial Nails,Rs. 429,353 sold,Federally Administered Tribal Areas,43
2 Sided Nail Buffer Shiner Nail Art Sanding Buffer Strip Pedicure Manicure Polish Professional Nail Shiner Buffer Tool,Rs. 129,23 sold,Sindh,N/A
24Pcs Pink Heart Long Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 359,459 sold,Overseas,45
24pcs detachable French cat-eyes false nails with glue full cover ballet shattered press on acrylic nails Wearable Manicure Nail,"Rs. 2,080",(1),Overseas,1
100Pcs / Coffin Shape Natural & Transparent Color Artificial Nails Kit Fakee Nails Acrylic Nails For Girls Beautiful Nails Falsee Nails,Rs. 180,9.6K sold,Sindh,1420
24Pcs Long Gold Red Fake Nails with Glue DIY Art Design False Nails Wearable Nails Stylish Pattern Artificial Nails,Rs. 499,205 sold,Overseas,20
100pcs square Shape Transparent Color Artificial Nails Fakee Nails Falsee Nails kit Acrylic Nails square Artificial Nail Transparent With Glue Nails For Girls,Rs. 335,440 sold,Sindh,41
7 Pieces Sets Manicure Pedicure Set Nail Clippers Nail Cutter Professional Nail Cutter Trimmer Set Professional Nail Cutter Trimmer Professional Nail Cutter Trimmer Portable Travel Nail Care Hygiene Kit Mani Pedi Set,Rs. 535,382 sold,Sindh,58
Buy High Quality 100pcs Nail Tips with Nail Glue - Best Selling Nail Deal,Rs. 299,26 sold,Punjab,1
"Menggh (with glue) 24pcs Artificial Nails, Hot-selling French False Nails",Rs. 415,11.4K sold,Federally Administered Tribal Areas,1609
Poly gel Nail Kit 8in1,"Rs. 1,999",198 sold,Punjab,20
100 pc Artificial nails for girls Transparent nails whit Glue,Rs. 280,205 sold,Punjab,15
"Brush-On Nail Adhesive Glue, Nails Art Glue",Rs. 149,Punjab,Punjab,N/A
24Pcs Spring Green Fake Nails with Glue DIY Art Design Flower False Nails Wearable Nails Hand-painted Artificial Nails,Rs. 359,371 sold,Overseas,53
576PCS Coffin Press on Nails Medium Length 24 Solid Color Acrylic False Nails Set Short Ballerina Fake Nails Full Cover Acrylic False Nail tips for Nail Art DIY,"Rs. 1,299",105 sold,Punjab,23
Face Value 100pcs Artificial Nails For Girls.,Rs. 180,3.7K sold,Sindh,556
24PCS Red French False Nails With Design Small Rhinestones Nail Art Full Cover Long Almond Nails Press On Manicure Nail Tip,"Rs. 2,288",Overseas,Overseas,N/A
OPI Nail Filer Stong Sandpaper Nails File 100/80 Griting Straight Nail Filer For Professional Files Art Manicure Accessories,Rs. 129,41 sold,Sindh,5
